 eventID,datetime,latitude,longitude,magnitude,mag_type,depth,phasecount,azimuth_gap,location,kategori_magnitude,mag_type_encoded,location_encoded
bmg2025qckz,2025-08-18 00:24:06.668709+00:00,-7.955692768096924,114.20480346679688,3.098852187918647,MLv,10,31.0,89.22564601898193,Bali Sea,Sedang,2,2
bmg2025qcla,2025-08-18 00:23:16.922674+00:00,2.2287631034851074,127.14159393310548,3.1470063600709826,MLv,15,9.0,177.65667724609375,Northern Molucca Sea,Sedang,2,17
bmg2025qckl,2025-08-18 00:07:51.567575+00:00,-1.469318151473999,120.52945709228516,1.884615735562825,MLv,10,14.0,81.68378448486328,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qckf,2025-08-17 23:59:47.965099+00:00,-1.385714292526245,120.60025024414062,1.8895135838659367,MLv,10,11.0,112.73646926879884,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qciw,2025-08-17 23:18:57.446815+00:00,-9.925448417663574,123.9031982421875,2.963555566794463,MLv,10,11.0,114.59513092041016,Timor Region,Ringan,2,36
bmg2025qciq,2025-08-17 23:12:31.369691+00:00,2.4871819019317627,126.92479705810548,3.725530886839016,MLv,10,26.0,108.39010620117188,Northern Molucca Sea,Sedang,2,17
bmg2025qcir,2025-08-17 23:12:28.364364+00:00,-6.895106315612793,106.68206787109376,2.0755309258813868,MLv,10,14.0,147.7692413330078,"Java, Indonesia",Ringan,2,12
bmg2025qcia,2025-08-17 22:53:55.744416+00:00,-2.0115337371826167,120.594970703125,2.5873400722097246,MLv,10,17.0,81.39481449127197,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qchs,2025-08-17 22:44:13.050985+00:00,-1.3464237451553345,120.5436248779297,2.149852582249636,MLv,10,18.0,106.36626434326172,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qcgd,2025-08-17 21:56:58.918176+00:00,-1.6530179977416992,133.7686004638672,2.288903411926751,MLv,11,8.0,122.15376663208008,"West Papua Region, Indonesia",Ringan,2,38
bmg2025qcfy,2025-08-17 21:51:08.836969+00:00,2.1751644611358643,127.05514526367188,3.0015808578158647,MLv,11,14.0,107.2732391357422,Northern Molucca Sea,Sedang,2,17
bmg2025qcfw,2025-08-17 21:48:43.610240+00:00,-2.243125915527344,120.46421813964844,2.5312523777771525,MLv,10,26.0,74.93687438964844,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qcfn,2025-08-17 21:37:38.316214+00:00,-7.966861248016357,114.18964385986328,3.06893270230388,MLv,10,40.0,63.28253173828125,Bali Sea,Sedang,2,2
bmg2025qcfj,2025-08-17 21:33:14.321864+00:00,-1.967694997787476,120.60269165039062,4.002271062264453,MLv,10,67.0,46.7396240234375,"Sulawesi, Indonesia",Sedang,2,29
bmg2025qcep,2025-08-17 21:09:54.924061+00:00,-7.989964008331299,114.21923828125,2.9638888319759595,MLv,10,47.0,54.72381210327148,Bali Sea,Ringan,2,2
bmg2025qcct,2025-08-17 20:13:38.784646+00:00,-1.3263014554977417,120.6168212890625,2.7809128194870065,MLv,10,53.0,60.59340286254883,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qcal,2025-08-17 19:04:30.742621+00:00,0.7897833585739136,127.11907958984376,2.003578543721807,MLv,10,11.0,247.1290588378906,"Halmahera, Indonesia",Ringan,2,10
bmg2025qcaj,2025-08-17 19:02:15.439259+00:00,-8.827032089233398,125.07518005371094,3.125245530890839,MLv,10,21.0,148.17246627807617,Timor Region,Sedang,2,36
bmg2025qbzq,2025-08-17 18:39:23.897882+00:00,-0.5246937870979309,131.2159423828125,2.855496949888247,MLv,13,15.0,122.68628692626952,"West Papua Region, Indonesia",Ringan,2,38
bmg2025qbzg,2025-08-17 18:27:36.945087+00:00,-2.0858829021453857,120.66381072998048,1.8771613272635976,MLv,10,12.0,142.3373565673828,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbyk,2025-08-17 18:01:50.255065+00:00,-6.989577293395996,108.49935150146484,2.4537068076418405,MLv,10,23.0,70.06500244140625,"Java, Indonesia",Ringan,2,12
bmg2025qbxz,2025-08-17 17:49:33.468765+00:00,-8.74045181274414,109.85293579101562,2.7067143886416867,MLv,12,22.0,256.9405975341797,"Java, Indonesia",Ringan,2,12
bmg2025qbxp,2025-08-17 17:38:08.584434+00:00,4.159027576446533,97.45091247558594,2.762814192734908,MLv,10,15.0,135.3258514404297,"Northern Sumatra, Indonesia",Ringan,2,18
bmg2025qbxb,2025-08-17 17:21:39.397628+00:00,-1.3007078170776367,120.6501922607422,1.938193014904408,MLv,10,15.0,108.9011001586914,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbwy,2025-08-17 17:18:28.241513+00:00,-7.855072498321533,118.72054290771484,2.2316743018271303,MLv,30,16.0,250.25867462158203,Flores Sea,Ringan,2,9
bmg2025qbwm,2025-08-17 17:04:02.976022+00:00,-0.1950365453958511,122.91912841796876,2.671708783033297,MLv,51,24.0,95.58512115478516,"Minahassa Peninsula, Sulawesi",Ringan,2,13
bmg2025qbwa,2025-08-17 16:50:03.938235+00:00,-1.3712111711502075,120.6224822998047,2.306580475461012,MLv,10,27.0,95.11547088623048,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbvq,2025-08-17 16:38:39.456632+00:00,-8.551241874694824,122.8159637451172,2.4643518487347893,MLv,12,10.0,171.65106964111328,"Flores Region, Indonesia",Ringan,2,8
bmg2025qbuc,2025-08-17 15:51:52.608021+00:00,-2.811579465866089,128.4942626953125,2.435230896902799,MLv,10,7.0,132.82750701904297,Ceram Sea,Ringan,2,7
bmg2025qbtu,2025-08-17 15:42:51.483199+00:00,2.1759696006774902,127.09514617919922,3.3228602307095105,MLv,10,21.0,102.03530883789062,Northern Molucca Sea,Sedang,2,17
bmg2025qbtk,2025-08-17 15:31:18.929332+00:00,2.1416234970092773,127.09011840820312,4.708576468550169,MLv,10,42.0,95.7738800048828,Northern Molucca Sea,Sedang,2,17
bmg2025qbtj,2025-08-17 15:30:04.604501+00:00,2.175164699554444,127.0986785888672,4.522363688904496,MLv,10,28.0,102.09284210205078,Northern Molucca Sea,Sedang,2,17
bmg2025qbtd,2025-08-17 15:22:13.373472+00:00,-2.041367292404175,120.66802215576172,2.1396602179728377,MLv,10,19.0,72.11544036865234,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbsk,2025-08-17 15:00:43.137473+00:00,-1.7871205806732178,119.42838287353516,2.2392866599396144,MLv,12,12.0,158.07696533203125,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbqv,2025-08-17 14:12:38.813861+00:00,1.924424409866333,126.47693634033205,3.042206153370298,MLv,24,12.0,100.9974136352539,Northern Molucca Sea,Sedang,2,17
bmg2025qbqe,2025-08-17 13:52:50.961819+00:00,-1.3671860694885254,120.62974548339844,1.826631723149451,MLv,10,8.0,177.17181396484375,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbqd,2025-08-17 13:51:25.794892+00:00,-1.3842475414276123,120.5216827392578,1.7820044500188736,MLv,10,13.0,81.82733154296875,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbpo,2025-08-17 13:34:24.418086+00:00,2.03610634803772,125.90419006347656,2.8777745261919034,MLv,36,13.0,77.86187744140625,"Talaud Islands, Indonesia",Ringan,2,34
bmg2025qbnl,2025-08-17 12:30:22.473128+00:00,-6.963444232940674,111.31903076171876,2.790855784518538,MLv,10,41.0,121.99021911621094,"Java, Indonesia",Ringan,2,12
bmg2025qbmr,2025-08-17 12:07:19.880326+00:00,-0.3035612106323242,123.25757598876952,2.3398047117719125,MLv,38,13.0,225.9169769287109,"Minahassa Peninsula, Sulawesi",Ringan,2,13
bmg2025qblo,2025-08-17 11:32:33.007616+00:00,-1.3577944040298462,120.60478973388672,1.995219334860016,MLv,5,19.0,94.9367446899414,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbkw,2025-08-17 11:12:29.986204+00:00,-2.0464179515838623,120.6894073486328,1.7501181263559222,ML,5,11.0,132.4014434814453,"Sulawesi, Indonesia",Ringan,1,29
bmg2025qbjj,2025-08-17 10:26:07.969221+00:00,2.190836429595948,127.1092987060547,3.225203053144147,MLv,17,8.0,296.034423828125,Northern Molucca Sea,Sedang,2,17
