No,Nama Perusahaan,Kode Saham,Kode Subindustri,Sektor,Subsektor,Industri,Subindustri,Index,PER,PBV,ROE %,ROA %,DER,Mkt Cap,Total Rev,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,NPM %,MTD,YTD
231,PT Indokripto Koin Semesta Tbk,COIN,G511,Financials,Holding & Investment Companies,Holding & Investment Companies,Financial Holdings,"COMPOSITE, DBX, IDXFINANCE",572.81,34.10,5.95,5.78,0.03,52500000168000,204633223863,23.19,80.97,,,44.79,11.14,
232,Cowell Development Tbk,COWL,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT",,-12.63,,-37.63,-133.29,243560701050,461082871379,0.00,0.00,0.00,0.00,-208.17,0.00,0.00
233,Charoen Pokphand Indonesia Tbk,CPIN,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","COMPOSITE, IDX30, IDX80, IDXLQ45LCL, IDXNONCYC, IDXQ30, IDXVESTA28, Investor33, ISSI, JII, JII70, KOMPAS100, LQ45, MBX",16.18,2.38,14.70,10.73,0.37,75922740000000,50604542000000,-6.09,-4.49,-10.06,-9.70,9.27,-5.10,-7.07
234,Capri Nusa Satu Properti Tbk,CPRI,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT",,0.66,-2.00,-1.75,0.14,121668997900,2886739228,0.00,0.00,0.00,0.00,-127.14,0.00,0.00
235,Central Proteina Prima Tbk,CPRO,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",9.58,0.97,10.12,5.70,0.78,3872204881155,7336307000000,-4.69,7.02,19.61,22.00,5.51,-4.69,22.00
236,PT Toba Surimi Industries Tbk,CRAB,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","COMPOSITE, DBX, IDXNONCYC, ISSI",18.38,2.38,12.94,8.94,0.45,546000000000,455329844984,-7.09,7.38,9.17,0.00,6.52,-5.76,-0.76
237,PT Carsurin Tbk,CRSN,C232,Industrials,Industrial Services,Professional Services,Research & Consulting Services,"COMPOSITE, DBX, IDXINDUST, ISSI",25.47,1.71,6.70,4.07,0.64,390420000000,352127777110,10.08,22.43,19.09,33.67,4.35,-1.50,14.91
238,Catur Sentosa Adiprana Tbk,CSAP,E743,Consumer Cyclicals,Retailing,Specialty Retail,Home Improvement Retail,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",15.31,0.50,3.28,1.01,2.24,1852715099226,12862079691000,-2.40,10.88,25.38,-27.56,0.94,-1.21,-28.19
239,Cahayasakti Investindo Sukses Tbk,CSIS,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",66.10,1.55,2.35,1.59,0.48,551554000000,69412694305,29.70,242.40,568.75,455.84,12.02,9.74,502.82
240,Cipta Selera Murni Tbk,CSMI,E515,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants,"COMPOSITE, DBX, IDXCYCLIC, ISSI",-62.11,47.67,-76.76,-6.75,10.38,208911744000,1413309177,-30.38,-38.89,-87.95,-92.72,-238.00,-5.17,-92.74
241,PT Cisadane Sawit Raya Tbk.,CSRA,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI, MBX",6.05,1.22,20.22,11.99,0.69,1834750000000,1334652207155,-2.81,2.37,38.40,17.69,22.73,-3.89,18.49
242,Citra Tubindo Tbk,CTBN,B144,Basic Materials,Basic Materials,Metals & Minerals,Iron & Steel,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",12.16,2.95,24.24,16.99,0.43,6082823400000,3650536978140,18.40,22.44,17.29,124.11,13.70,-27.03,124.11
243,Ciputra Development Tbk,CTRA,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, IDX80, IDXESGL, IDXG30, IDXLQ45LCL, IDXPROPERT, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, IDXV30, IDXVESTA28, ISSI, JII70, KOMPAS100, LQ45, MBX, MNC36",6.53,0.62,9.56,5.35,0.79,16126054871850,8391803000000,-2.30,-11.46,-12.82,-17.07,29.45,-1.16,-14.57
244,Citatah Tbk,CTTH,C121,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures,"COMPOSITE, DBX, IDXINDUST",-4.15,0.70,-16.90,-4.21,3.01,124314821921,88335407593,88.37,315.38,548.00,548.00,-33.92,76.09,523.08
245,PT Petrindo Jaya Kreasi Tbk,CUAN,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, IDXENERGY, ISSI, MBX",125.17,30.13,24.07,6.02,3.00,301282652000000,13297297884000,16.06,78.17,-78.69,-68.77,18.10,-5.24,-78.56
246,ITSEC Asia Tbk.,CYBR,I121,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,"COMPOSITE, DBX, IDXSMC-COM, IDXTECHNO, ISSI",178.92,52.06,29.10,17.47,0.67,9715651767300,297235935699,0.37,31.88,33.17,301.47,18.27,-7.77,236.21
247,PT Daaz Bara Lestari Tbk,DAAZ,B146,Basic Materials,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,"COMPOSITE, IDXBASIC, IDXSMC-COM, ISSI, MBX",13.33,2.16,16.18,5.68,1.85,4533190000000,9855700367527,0.89,-22.53,-45.69,-58.73,3.45,2.71,-53.00
248,Diamond Citra Propertindo Tbk,DADA,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT",206.98,1.05,0.51,0.28,0.82,371576540000,9050586919,0.00,-16.67,525.00,455.56,19.84,0.00,455.56
249,Duta Anggada Realty Tbk,DART,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT",-2.07,0.45,-21.68,-4.42,3.91,562308982198,370729103000,-7.85,12.10,19.73,-3.30,-73.12,-1.68,6.02
250,PT Remala Abadi Tbk,DATA,J311,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service,"COMPOSITE, DBX, IDXINFRA, IDXSMC-COM, ISSI",51.44,15.84,30.79,13.27,1.32,5610000000000,314434987716,-8.53,-16.40,206.23,425.79,34.68,3.98,450.00
251,Duta Intidaya Tbk,DAYA,D111,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Drug Retail & Distributors,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",52.86,32.95,62.33,6.82,8.14,3800258829250,2001384940000,-16.45,26.37,30.26,101.59,3.59,-4.87,81.43
252,DCI Indonesia Tbk,DCII,I121,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,"COMPOSITE, DBX, IDXTECHNO, ISSI",481.03,147.24,30.61,20.60,0.49,563755905350000,1922859000000,-6.62,-18.82,61.02,475.88,60.95,3.48,481.35
